timestamp	data_points	BTC_corr_15m	BTC_momentum_15m	BTC_zscore_15m	ETH_corr_15m	ETH_momentum_15m	ETH_zscore_15m	BTCDOM_corr_15m	BTCDOM_momentum_15m	BTCDOM_zscore_15m	USDT_BTC_corr_15m	USDT_BTC_momentum_15m	USDT_BTC_zscore_15m
1776178734466	91	0.5809	-27.1964	0.0	0.5705	-19.5346	0.0	0.1465	53.2427	0.0	-0.581	-27.1382	0.0
1776178794466	92	0.4531	-31.4834	0.0	0.4788	-18.5299	0.0	-0.1334	-253.3333	0.0	-0.4532	-31.4165	0.0
1776178854466	93	0.3416	-29.0403	0.0	0.3621	-12.3245	0.0	-0.219	-218.9571	0.0	-0.3413	-28.955	0.0
1776178914466	94	-0.0174	-105.2221	0.0	-0.0691	-125.219	0.0	0.2832	105.2174	0.0	0.0175	-105.2679	0.0
1776178974466	95	-0.1809	-207.2318	0.0	-0.2977	-385.7006	0.0	0.4017	46.0727	0.0	0.1808	-207.619	0.0
1776179034466	96	-0.3196	352.6912	-1.926	-0.4427	106.676	-1.9454	0.4219	-45.9241	1.371	0.3192	347.6858	1.9246
1776179094466	97	-0.4464	139.7422	-1.761	-0.5567	65.4875	-1.6826	0.448	-45.2457	1.197	0.4461	138.5561	1.7608
1776179154466	98	-0.5644	78.1003	-1.6743	-0.6398	34.5531	-1.5084	0.3155	-60.6265	0.4857	0.5643	78.0126	1.6748
1776179214466	99	-0.6289	101.5059	-1.5071	-0.6795	31.3805	-1.3324	-0.0105	-101.3281	-0.9107	0.6289	101.7645	1.5077
1776179274466	100	-0.6651	334.1384	-1.3545	-0.7314	83.815	-1.2589	0.2367	-67.6064	0.2239	0.6652	335.0556	1.3552
1776179334466	101	-0.7269	-1012.0452	-1.3215	-0.7811	993.9776	-1.2135	0.3451	-44.3387	0.6939	0.7271	-1010.0125	1.3222
1776179394466	102	-0.7945	-405.4594	-1.32	-0.8411	-542.2187	-1.2101	0.1917	-63.8165	-0.0527	0.7945	-405.2247	1.3201
1776179454466	103	-0.77	-357.8701	-1.1281	-0.7454	-362.5572	-0.8995	0.1354	-15.6386	-0.3189	0.7703	-357.7116	1.1288
1776179514466	104	-0.6874	-284.7353	-0.8573	-0.649	-264.4287	-0.6409	0.116	-58.408	-0.401	0.6874	-284.5865	0.8573
1776179574466	105	-0.7438	-279.8791	-0.9276	-0.6832	-254.8504	-0.6804	-0.2365	-185.3791	-2.1821	0.7439	-279.7728	0.9277
1776179634466	106	-0.7278	-225.2883	-0.8365	-0.6399	-212.1648	-0.5548	-0.3796	-359.1126	-2.4948	0.7279	-225.284	0.8367
1776179694466	107	-0.7157	-257.9563	-0.7661	-0.6107	-227.548	-0.4683	-0.4542	240.4798	-2.3503	0.7157	-257.9214	0.766
1776179754466	108	-0.7267	-312.7342	-0.7553	-0.6121	-269.0417	-0.4545	-0.3942	80.0	-1.7643	0.7266	-312.8919	0.755
1776179814466	109	-0.7114	3988.5057	-0.688	-0.5945	760.3473	-0.3989	-0.2651	-193.6088	-1.1405	0.7113	3964.5714	0.6878
1776179874466	110	-0.6787	275.1797	-0.5863	-0.5343	79.476	-0.2455	-0.1759	-143.7889	-0.7698	0.6785	275.2765	0.5858
1776179934466	111	-0.5873	83.761	-0.3528	-0.3889	-12.1527	0.1103	-0.1244	-129.4857	-0.562	0.5869	83.8659	0.3519
1776179994466	112	-0.4362	-2.2849	0.0179	-0.1858	-66.6248	0.6074	0.0882	-80.3125	0.2009	0.4357	-2.3313	-0.019
1776180054466	113	-0.3076	-45.4996	0.3321	-0.1056	-83.4948	0.7888	0.1421	-54.9604	0.3893	0.307	-45.5963	-0.3334
1776180114466	114	0.0721	-111.4645	1.2714	0.4091	-160.206	2.0582	0.0656	-724.7619	0.1	-0.0723	-111.4963	-1.2717
1776180174466	115	0.4239	-163.7348	2.0727	0.605	-182.7181	2.3225	0.183	-22.6869	0.5359	-0.4237	-163.6951	-2.0719
1776180234466	116	0.4999	-168.7715	2.0528	0.3885	-149.7375	1.5882	0.4054	17.4732	1.3641	-0.4998	-168.7388	-2.0524
1776180294466	117	0.6319	-179.5343	2.1578	0.2744	-132.6239	1.2429	0.6898	259.8331	2.3529	-0.6319	-179.5343	-2.1577
1776180354466	118	0.6755	-187.7273	2.0458	0.4007	-153.7564	1.4539	0.6842	405.3176	2.0839	-0.6754	-187.6801	-2.0456
1776180414466	119	0.4041	-158.7867	1.3399	0.1514	-123.3282	0.8578	0.4635	299.569	1.18	-0.4042	-158.8013	-1.3401
1776180474466	120	0.1067	-114.3453	0.6999	-0.0726	-89.3735	0.3638	0.1863	-178.7738	0.2285	-0.1068	-114.3568	-0.7
1776180479543	120	0.7767	-19.0178	1.9958	1.0	0.0	2.6341	0.2358	93.4372	0.3885	-0.7766	-19.0114	-1.9955
